,English,French
9046,tunnellers,tunneliers
9047,locomotion multitudes dedicating,locomotion multitudes consacrer
9048,subsequent expedition undeniable,ultérieur expédition indéniable
9049,diffidence,méfiance
9050,professors downstairs,professeurs en bas
9051,playwright,dramaturge
9052,subverting undulation,subvertir ondulation
9053,perumchoru excavation,perumchoru excavation
9054,subscriber agaratvcha,abonné agaratvcha
9055,uncopyable,incopiable
9056,mahanasika,Mahanasika
9057,displeased,mécontent
9058,yatharoopa,Yatharoopa
9059,heptanesia,heptanésie
9060,gudimallam uncreative,gudimallam peu créatif
9061,governance dazzlingly,gouvernance de manière éblouissante
9062,exchanging misaligned muggeridge,échanger mal aligné Muggeridge
9063,pendentive temptation,pendentif tentation
9064,unbuttoned amateurish biomedical,déboutonné amateur biomédical
9065,sacredness,sacré
9066,recreation,récréation
9067,reputation rakhadumni himselfthe,réputation rakhadumni lui-même
9068,idolatrous compatible completing,idolâtre compatible terminer
9069,hrishikesh,hrishikesh
9070,blacksmith,forgeron
9071,remissions,rémissions
9072,parabrahma,parabrahma
9073,bhrattalam,bhrattalam
9074,yajurvedas neatawaarn janmasthan,yajurvédas soigné Janmasthan
9075,beginnming rajaprasad provincial,début Rajaprasad provincial
9076,vichitrita,vichitrita
9077,samvatsara applicants,samvatsara candidats
9078,redefining,redéfinir
9079,serialized,sérialisé
9080,compulsory singavaram theorizing,obligatoire singavaram théoriser
9081,refutation,réfutation
9082,kulottunga,kulottunga
9083,unleashing nirwaachan,déchaîner nirwaachan
9084,permitting,permettre
9085,rekahayein emphasises,rekahayein souligne
9086,castrating aboriginal,castration aborigène
9087,dreamworld suppertime brainwaves,monde de rêve l'heure du souper ondes cérébrales
9088,amputation,amputation
9089,accusation,accusation
9090,readingall,tout lire
9091,government indomitabe,gouvernement indomptable
9092,abdicating,abdiquer
9093,domination,domination
9094,unburdened,déchargé
9095,bhimbetaka construted unrivalled,bhimbetaka construit sans égal
9096,portfolios,portefeuilles
9097,aggression perforated,agression perforé
9098,marseilles meaningthe propagated,Marseille ce qui signifie le propagé
9099,propotions bombarding,propositions bombardement
9100,reconquest,reconquête
9101,subversive,subversif
9102,miniskirts solidarity,minijupes solidarité
9103,sitarmayya,sitarmayya
9104,milligrams henceforth macmillans,milligrammes désormais macmillans
9105,uzbekistan,Ouzbékistan
9106,muradhabad railwaymen,muradhabad cheminots
9107,eveiything,tout
9108,theocratic infallible,théocratique infaillible
9109,recaptured,repris
9110,interrupts staircases,interrompt escaliers
9111,overvalued,surévalué
9112,misbehaves sulthanpur,se comporte mal Sultanpur
9113,returnable inhabitant,consigné habitant
9114,antimatter,antimatière
9115,ethiquital,éthique
9116,formalised,formalisé
9117,procedures,procédures
9118,roundtable beneficial,table ronde avantageux
9119,bibhotheca,bibhothèque
9120,structured,structuré
9121,recommends,recommande
9122,hyderabadi confounded muktadhara,Hyderabadi confus muktadhara
9123,gurudaspur linlithgow admonished,gurudaspur linlithgow réprimandé
9124,corrospond,corrospondre
9125,kaonverter,convertisseur de kaon
9126,remarkably vindicated physicists,remarquablement justifié physiciens
9127,precocious unbecoming,précoce inconvenant
9128,princesses ourbhagini,princesses ourbhagini
9129,calibrated,calibré
9130,janmasthan,Janmasthan
9131,panchayats upanishedh,panchayats upanih
9132,utharakant,utharakant
9133,secondhand,d'occasion
9134,pesticidal mechanisms,pesticide mécanismes
9135,prosthesis,prothèse
9136,propogated,propagé
9137,powerlooms unlikeness,métiers à tisser dissemblance
9138,gragernion varshakala diagnostic,gragernion Varshakala diagnostique
9139,perpetrate,perpétrer
9140,anthracite,anthracite
9141,backwaters idolatrous furthering,backwaters idolâtre favoriser
9142,shahajahan publically,Shahajahan publiquement
9143,dissidents,dissidents
9144,dilatation,dilatation
9145,despatched chivalrous,expédié chevaleresque
9146,hippodrome ornamental,hippodrome ornemental
9147,lammitemma hyderabadi,lammitemma Hyderabadi
9148,synergised chatrapati dheepshika,synergisé Chatrapati dheepshika
9149,programmer,programmeur
9150,unbearably,insupportablement
9151,responders ravanhatha grassroots,intervenants ravanhatha la base
9152,mujahideen,moudjahidin
9153,yugoslavia,Yougoslavie
9154,obtainable,pouvant être obtenu
9155,particular,particulier
9156,impassable stentorian,infranchissable de stentor
9157,stupendous intervenes,prodigieux intervient
9158,boundaries,frontières
9159,agreegetor tumbaknari,accordeur tumbaknari
9160,dwaipayana accomplice,dwaipayana complice
9161,varahmihir,varahmihir
9162,immaturity,immaturité
9163,panchamrut,panchamrut
9164,gothakhoor,gothakhoor
9165,presenting,présentation
9166,unlettered,illettré
9167,reproduces,reproduit
9168,pratimaano,pratimaano
9169,extremists,extrémistes
9170,peremptory kimpurusha,péremptoire Kimpurusha
9171,trypoxylon,trypoxylon
9172,disruptive breathable kallesvara,perturbateur respirant Kallesvara
9173,sudhodhana,sudhodhana
9174,delusional,délirant
9175,ilachandra declassing,ilachandra déclassement
9176,leveraging janmasthan,tirer parti Janmasthan
9177,consonants shamefully,consonnes honteusement
9178,futuristic,futuriste
9179,telegraphy powerpoint,télégraphie PowerPoint
9180,visualised,visualisé
9181,terrorists,terroristes
9182,rejoicings,réjouissances
9183,benevolent akabarnama incubation,bienveillant akabarnama incubation
9184,biochemist exhaustion,biochimiste épuisement
9185,nasirudeen unsolvable,nasirudeen insoluble
9186,galsworthy andconduct,digne d'une fille etconduite
9187,correctors,correcteurs
9188,vidyadhara discharged,vidyadhara déchargé
9189,togetherly,ensemble
9190,continouus,continu
9191,keddleston anchorites,keddleston anachorètes
9192,alcoholism,alcoolisme
9193,sultanates,sultanats
9194,affordable,abordable
9195,peeippalad workforces,pippalad effectifs
9196,figureless,sans figure
9197,diagnostic,diagnostique
9198,establised appreciate,établi apprécier
9199,nationally,à l'échelle nationale
9200,prophesied shopkeeper,prophétisé commerçant
9201,cellophane,cellophane
9202,diapproved mussoulini graduation,désapprouvé mussoulini graduation
9203,subbaraman,sous-baraman
9204,durgawatee,durgawatee
9205,borderless jacqueline,sans frontières Jacqueline
9206,lifesaving,sauvetage
9207,conserving mahaprabhu,conserver Mahaprabhu
9208,catapulted,catapulté
9209,belittling dispersing,déprécier disperser
9210,shattering,bouleversant
9211,humiliated,humilié
9212,sayavabala,Sayavabala
9213,bitterness,amertume
9214,polynesian,polynésien
9215,condoleeza,condoléance
9216,riecessary techniques pashupatba,nécessaire techniques Pashupatba
9217,taxonomist,taxonomiste
9218,extensions shahenshah responding,extensions Shahenshah répondre
9219,specialist curveballs afterwords,spécialiste boules courbes postface
9220,recognised pitnpaksha,reconnu pitnpaksha
9221,infraction,infraction
9222,immobilise,immobiliser
9223,stablished melancholy covenanted,établi mélancolie conventionné
9224,confounded,confus
9225,surgically,chirurgicalement
9226,statistics victorious,statistiques victorieux
9227,sanskritum,sanscrit
9228,compleated,terminé
9229,ssrogvedce,ssrogvedce
9230,convocated,convoqué
9231,bernoullis,Bernoullis
9232,intactness shrinkhala beautified,intégrité rétractable embelli
9233,royapettah,royapettah
9234,supersedes,remplace
9235,confidence antedating,confiance antidatation
9236,fossilized cricketing,fossilisé jouer au cricket
9237,ppolitical,ppolitique
9238,intresting maptsatung requesting,intéressant maptsatung demandant
9239,authorizes stebblfild,autorise Stebbfild
9240,hillebrand,Hillebrand
9241,mcchrystal simplicity,mcchristal simplicité
9242,peacestate,état de paix
9243,serialised searchable,sérialisé consultable
9244,homecoming declaraing aishwariya,retour à la maison déclarant aishwariya
9245,aggregated,agrégé
9246,servicemen philistine,militaires Philistin
9247,annatoshon forbidding,antoshhon interdiction
9248,indianness likelihood monolithic,indianité probabilité monolithique
9249,rangarajan appliances,rangarajan appareils électroménagers
9250,khatimunda,Khatimunda
9251,railwaymen affinities,cheminots affinités
9252,touchstone,pierre de touche
9253,abstaining deepshikha,s'abstenir Deepshikha
9254,shatrughun jethmalani,Shatrughun jethmalani
9255,satyaprash,satyaprash
9256,hesitation sufficient recreation,hésitation suffisant récréation
9257,outrageous reorganize fortyeight,scandaleux réorganiser quarante-huit
9258,strategist,stratège
9259,assailants,assaillants
9260,denudation externment proyogkrta,dénudation externation proyogkrta
9261,changeless muaviyarji,immuable muaviyarji
9262,indicatior,indicateur
9263,biurocrowd ballabsang fontanelle,biurocrowd ballabsang fontanelle
9264,managanese,manganèse
9265,aftershock,réplique
9266,neighbours topography,voisins topographie
9267,greediness,cupidité
9268,ostensibly atrocities durationof,en apparence atrocités duréede
9269,amendement,amendement
9270,economists,économistes
9271,curveballs uprighting,boules courbes redressement
9272,headstrong weeknights,têtu les soirs de semaine
9273,multiplied adaptation,multiplié adaptation
9274,underneath,dessous
9275,admissible,admissible
9276,tungbhadra,toungbhadra
9277,militiamen pithorabad compulsory,miliciens Pithorabad obligatoire
9278,countryman provincies uprighting,compatriote provinces redressement
9279,subscriber dominating unrepealed,abonné dominateur non abrogé
9280,interphase,interphase
9281,tabatabain detergents muktadhara,tabatabaïne détergents muktadhara
9282,topography,topographie
9283,casefrance,casfrance
9284,restaurant,restaurant
9285,ramchandra,ramchandra
9286,skyscraper,gratte-ciel
9287,effacement,effacement
9288,futuristic reconquest,futuriste reconquête
9289,rrmembered engineered enormously,mémorisé conçu énormément
9290,summiteers vidhyawati,sommets vidhyawati
9291,liberalize,libéraliser
9292,complexion,complexion
9293,insanitary maharastra qomolangma,insalubre maharastra qomolangma
9294,rehearsals,répétitions
9295,srikrishan,srikrishan
9296,presumably,probablement
9297,aakashdeep,aakashdeep
9298,appetising settlement,appétissant règlement
9299,puzzlement minorities,perplexité minorités
9300,richardson mistresses,richardson maîtresses
9301,decendence,décendance
9302,uncopyable megalithic,incopiable mégalithique
9303,profession,profession
9304,subsequent,ultérieur
9305,chaturdasi economicby exercising,chaturdasi économiquepar faire de l'exercice
9306,exaltation peasantary,exaltation paysan
9307,sacrificed,sacrifié
9308,comparable,comparable
9309,castrating,castration
9310,jaishanker barefooted,jaishanker pieds nus
9311,reconsider,reconsidérer
9312,aggrigator convoluted,agrégateur convoluté
9313,diligently,avec diligence
9314,ashavamedh,ashavamedh
9315,precedents lankawalla,précédents Lankawalla
9316,secularism,laïcité
9317,alakhnanda pannurutti homophobia,Alakhnanda pannurutti homophobie
9318,sarvhomast jayapataka premchanda,sarvhomast jayapataka premchanda
9319,eventually triggering,finalement déclenchement
9320,withstates commanders hieronymus,avecétats commandants hiéronyme
9321,principals paranormal,directeurs paranormal
9322,parakashta,parakashta
9323,derogation,dérogation
9324,sentineles,sentinelles
9325,basketball anticlimax,basket-ball déception
9326,nirmebdhne janamejaya,nirmebdhne janamejaya
9327,inveterate,invétéré
9328,apppointed,nommé
9329,devastated,dévasté
9330,shreekhand,main aiguë
9331,hahavishnu,hahavishnu
9332,backwaters,backwaters
9333,andconduct,etconduite
9334,beliveable antibodies kwashpuram,crédible anticorps kwashpuram
9335,sufferings crocodiles,souffrances crocodiles
9336,cohesively,de manière cohérente
9337,dismantled polyploids,démantelé polyploïdes
9338,barmecides,barmécides
9339,southwards,vers le sud
9340,lenticular,lenticulaire
9341,generalize cohabiting,généraliser cohabiter
9342,stretching responsive faithfulwe,étirage sensible fidèlenous
9343,surowiecki shajhahans,surowiecki shajhahans
9344,lakshagruh,lakshagruh
9345,visualises,visualise
9346,condingent,conditionnel
9347,togathered symbolical currencies,rassemblés symbolique devises
9348,secondhand dislocated,d'occasion luxé
9349,detoriated,détorié
9350,sweetheart advertiser,chérie annonceur
9351,filmmaking sightseers justifying,réalisation les touristes justifier
9352,brihaspati,Brihaspati
9353,roderichka,roderichka
9354,treasuries,trésors
9355,seretriate,sétrier
9356,colourfull,coloré
9357,blissfully,avec bonheur
9358,aspersions,calomnies
9359,segregated,séparé
9360,orthopedic,orthopédique
9361,percentile parashuram saddleback,centile parashuram en selle
9362,generality counseling,généralité conseil
9363,contenders narratives,prétendants récits
9364,partnering godparents surrounded,partenariat parrains et marraines entouré
9365,troposhere afhujimore,troposphère afhujimore
9366,monotheism ganeshlena,monothéisme Ganeshléna
9367,terrifying alpanasika uzbekistan,terrifiant alpanasika Ouzbékistan
9368,vertically possitione,verticalement poste
9369,apprentice oppression twentyfive,apprenti oppression vingt cinq
9370,sambaavana bhagatsinh,sambaavana Bhagatsinh
9371,disheveled,ébouriffé
9372,sandalwood brilliance,santal éclat
9373,fulgoridae,fulgoridés
9374,scientiest,le plus scientifique
9375,bequeathed roundtable reductions,légué table ronde réductions
9376,theologian,théologien
9377,undertrial beautified,en cours de procès embelli
9378,awakenning,éveil
9379,koushitaki kinnarayya spectators,koushitaki kinnarayya spectateurs
9380,shibboleth fierceness,schibboleth férocité
9381,retracting,se rétracter
9382,phosphoric,phosphorique
9383,corruption thelongrun courtyards,corruption le long terme cours
9384,sapaldaksh siddbarama,sapaldaksh siddbarama
9385,ophthalmic,ophtalmique
9386,exxonmobil pollutions permeating,exxonmobil pollution imprégnant
9387,toleration,tolérance
9388,flashbacks,flashbacks
9389,kachesvara woodpecker,kachesvara pic
9390,preemptive miniskirts,de préemption minijupes
9391,muawiyarji,muawiyarji
9392,companians,compagnons
9393,fluttering friendless,flottant sans ami
9394,purchasing protesters,achat manifestants
9395,subuktagin,sous-étiquette
9396,lifestyles aspiration,modes de vie aspiration
9397,satvahanas conflicted laughingly,satvahanas en conflit en riant
